XrayTh,spiralTh,sliceTh,p_valIni,nHQ,nLQ,FalloHQ,FalloLQ,Fallopval,Freq,Proportion HQ/LQ,p_val
500,1.2,1.5,0.04874019,364,2604,0.027903751,0.135867732,0.006328636,0,0.139784946,0.006328636
500,1.2,2,0.04874019,364,2604,0.027903751,0.135867732,0.006328636,0,0.139784946,0.006328636
500,1.2,2.5,0.04874019,364,2604,0.027903751,0.135867732,0.006328636,0,0.139784946,0.006328636
200,1,1,0.097939309,616,2352,0.055831628,0.141751446,0.056792818,280,0.261904762,0.056792818
350,0.6,1.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
500,1,1.5,0.059348386,224,2744,0.019702117,0.130736574,0.002769196,0,0.081632653,0.002769196
500,1,2,0.059348386,224,2744,0.019702117,0.130736574,0.002769196,0,0.081632653,0.002769196
500,1,2.5,0.059348386,224,2744,0.019702117,0.130736574,0.002769196,0,0.081632653,0.002769196
200,1,1.5,0.111800871,798,2170,0.06500464,0.145547201,0.08564721,56,0.367741935,0.08564721
400,1.3,1.5,0.076356431,560,2408,0.047915191,0.140342983,0.033991388,0,0.23255814,0.033991388
350,0.6,2,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
400,1.4,1.5,0.076356431,560,2408,0.047915191,0.140342983,0.033991388,0,0.23255814,0.033991388
400,1.3,2,0.076356431,560,2408,0.047915191,0.140342983,0.033991388,0,0.23255814,0.033991388
400,1.4,2,0.076356431,560,2408,0.047915191,0.140342983,0.033991388,0,0.23255814,0.033991388
400,1.3,2.5,0.076356431,560,2408,0.047915191,0.140342983,0.033991388,0,0.23255814,0.033991388
400,1.4,2.5,0.076356431,560,2408,0.047915191,0.140342983,0.033991388,0,0.23255814,0.033991388
350,0.6,2.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
600,1.3,1.5,0.255639013,252,2716,0.047183071,0.126147061,0.11517767,28,0.092783505,0.11517767
300,1.2,1.5,0.180444726,686,2282,0.066037501,0.137301088,0.132758588,42,0.300613497,0.132758588
450,1,1.5,0.099577022,252,2716,0.031169168,0.130768716,0.014535516,0,0.092783505,0.014535516
450,1,2,0.099577022,252,2716,0.031169168,0.130768716,0.014535516,0,0.092783505,0.014535516
450,1,2.5,0.099577022,252,2716,0.031169168,0.130768716,0.014535516,0,0.092783505,0.014535516
350,1.3,1.5,0.108322794,714,2254,0.059482164,0.142119317,0.072132706,0,0.316770186,0.072132706
350,1.4,1.5,0.108322794,714,2254,0.059482164,0.142119317,0.072132706,0,0.316770186,0.072132706
350,1.3,2,0.108322794,714,2254,0.059482164,0.142119317,0.072132706,0,0.316770186,0.072132706
350,1.4,2,0.108322794,714,2254,0.059482164,0.142119317,0.072132706,0,0.316770186,0.072132706
350,1.3,2.5,0.108322794,714,2254,0.059482164,0.142119317,0.072132706,0,0.316770186,0.072132706
350,1.4,2.5,0.108322794,714,2254,0.059482164,0.142119317,0.072132706,0,0.316770186,0.072132706
400,0.6,1.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
350,1,1.25,0.257893705,322,2646,0.054659432,0.127656705,0.145065284,28,0.121693122,0.145065284
400,1.2,2,0.110963338,448,2520,0.046139166,0.134731652,0.043599316,0,0.177777778,0.043599316
400,1.2,2.5,0.110963338,448,2520,0.046139166,0.134731652,0.043599316,0,0.177777778,0.043599316
400,0.6,2,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
100,1,1.25,0.150922156,1190,1778,0.079206601,0.1517477,0.151835675,56,0.669291339,0.150922156
200,1,2,0.111800871,798,2170,0.06500464,0.145547201,0.08564721,0,0.367741935,0.08564721
200,1,2.5,0.111800871,798,2170,0.06500464,0.145547201,0.08564721,0,0.367741935,0.08564721
300,1.3,1.5,0.120141013,798,2170,0.064342902,0.143650193,0.090465794,0,0.367741935,0.090465794
300,1.4,1.5,0.120141013,798,2170,0.064342902,0.143650193,0.090465794,0,0.367741935,0.090465794
400,0.6,2.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
300,1.3,2,0.120141013,798,2170,0.064342902,0.143650193,0.090465794,0,0.367741935,0.090465794
300,1.4,2,0.120141013,798,2170,0.064342902,0.143650193,0.090465794,0,0.367741935,0.090465794
300,1.3,2.5,0.120141013,798,2170,0.064342902,0.143650193,0.090465794,0,0.367741935,0.090465794
300,1.4,2.5,0.120141013,798,2170,0.064342902,0.143650193,0.090465794,0,0.367741935,0.090465794
350,1.5,1.5,0.141211695,1232,1736,0.171063195,0.089432845,0.179971941,0,0.709677419,0.141211695
350,1.5,2,0.141211695,1232,1736,0.171063195,0.089432845,0.179971941,0,0.709677419,0.141211695
350,1.5,2.5,0.141211695,1232,1736,0.171063195,0.089432845,0.179971941,0,0.709677419,0.141211695
300,1.5,1.5,0.150314738,1316,1652,0.165791355,0.087965244,0.182843173,0,0.796610169,0.150314738
300,1.5,2,0.150314738,1316,1652,0.165791355,0.087965244,0.182843173,0,0.796610169,0.150314738
300,1.5,2.5,0.150314738,1316,1652,0.165791355,0.087965244,0.182843173,0,0.796610169,0.150314738
100,1,1,0.179137234,1008,1960,0.076693925,0.144886671,0.163621191,56,0.514285714,0.163621191
400,1,1,0.350939874,196,2772,0.050082202,0.123534199,0.192525363,56,0.070707071,0.192525363
350,1.2,1.5,0.161855177,602,2366,0.060359214,0.136052252,0.104675898,0,0.25443787,0.104675898
350,1.2,2,0.161855177,602,2366,0.060359214,0.136052252,0.104675898,0,0.25443787,0.104675898
450,0.6,1.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
350,1.2,2.5,0.161855177,602,2366,0.060359214,0.136052252,0.104675898,0,0.25443787,0.104675898
300,1,1.25,0.303082504,406,2562,0.06466148,0.128476075,0.214678274,28,0.158469945,0.214678274
350,1,1,0.444329939,252,2716,0.064924284,0.12323214,0.33776042,56,0.092783505,0.33776042
300,1.2,2,0.180444726,686,2282,0.066037501,0.137301088,0.132758588,0,0.300613497,0.132758588
300,1.2,2.5,0.180444726,686,2282,0.066037501,0.137301088,0.132758588,0,0.300613497,0.132758588
450,0.6,2,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
600,1.2,1.5,0.4908713,196,2772,0.062826043,0.121665083,0.374975818,28,0.070707071,0.374975818
600,1.5,1.5,0.328746901,616,2352,0.177397039,0.105086404,0.39643024,42,0.261904762,0.328746901
100,1,1.5,0.308830134,1428,1540,0.093256102,0.146190343,0.320049697,0,0.927272727,0.308830134
100,1,2,0.308830134,1428,1540,0.093256102,0.146190343,0.320049697,0,0.927272727,0.308830134
100,1,2.5,0.308830134,1428,1540,0.093256102,0.146190343,0.320049697,0,0.927272727,0.308830134
450,0.6,2.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
400,1,1.5,0.333962504,280,2688,0.057281141,0.125316612,0.210385854,0,0.104166667,0.210385854
400,1,2,0.333962504,280,2688,0.057281141,0.125316612,0.210385854,0,0.104166667,0.210385854
400,1,2.5,0.333962504,280,2688,0.057281141,0.125316612,0.210385854,0,0.104166667,0.210385854
700,1.5,1.5,0.316928454,336,2632,0.213059191,0.108602599,0.417399816,84,0.127659574,0.316928454
350,1,1.5,0.41405792,378,2590,0.071625754,0.125544202,0.334597905,0,0.145945946,0.334597905
350,1,2,0.41405792,378,2590,0.071625754,0.125544202,0.334597905,0,0.145945946,0.334597905
350,1,2.5,0.41405792,378,2590,0.071625754,0.125544202,0.334597905,0,0.145945946,0.334597905
300,1,1,0.503234409,308,2660,0.074364975,0.123307027,0.428407668,308,0.115789474,0.428407668
300,1,1.5,0.445163422,462,2506,0.078299302,0.12616543,0.385791709,0,0.184357542,0.385791709
300,1,2,0.445163422,462,2506,0.078299302,0.12616543,0.385791709,0,0.184357542,0.385791709
300,1,2.5,0.445163422,462,2506,0.078299302,0.12616543,0.385791709,0,0.184357542,0.385791709
400,1.5,1.5,0.470074713,966,2002,0.147539619,0.104985123,0.497838922,28,0.482517483,0.470074713
500,0.6,1.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
400,1.5,2,0.470074713,966,2002,0.147539619,0.104985123,0.497838922,0,0.482517483,0.470074713
400,1.5,2.5,0.470074713,966,2002,0.147539619,0.104985123,0.497838922,0,0.482517483,0.470074713
200,1.5,1.5,0.757503241,1834,1134,0.123533377,0.107139249,0.754646207,28,1.617283951,0.754646207
500,1.5,1.5,0.689145528,854,2114,0.134761815,0.110726183,0.700795454,0,0.40397351,0.689145528
500,1.5,2,0.689145528,854,2114,0.134761815,0.110726183,0.700795454,0,0.40397351,0.689145528
500,0.6,2,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
500,1.5,2.5,0.689145528,854,2114,0.134761815,0.110726183,0.700795454,0,0.40397351,0.689145528
450,1.5,1.5,0.705537803,938,2030,0.132607157,0.110660747,0.714629394,0,0.462068966,0.705537803
450,1.5,2,0.705537803,938,2030,0.132607157,0.110660747,0.714629394,0,0.462068966,0.705537803
450,1.5,2.5,0.705537803,938,2030,0.132607157,0.110660747,0.714629394,0,0.462068966,0.705537803
200,0.6,1.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,126,0.00952381,0.976748838
500,0.6,2.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
200,1.5,2,0.757503241,1834,1134,0.123533377,0.107139249,0.754646207,0,1.617283951,0.754646207
200,1.5,2.5,0.757503241,1834,1134,0.123533377,0.107139249,0.754646207,0,1.617283951,0.754646207
100,1.5,1.5,0.998804597,2660,308,0.116997152,0.117127324,0.998805058,0,8.636363636,0.998804597
100,1.5,2,0.998804597,2660,308,0.116997152,0.117127324,0.998805058,0,8.636363636,0.998804597
100,1.5,2.5,0.998804597,2660,308,0.116997152,0.117127324,0.998805058,0,8.636363636,0.998804597
600,1.3,1,0.044752034,168,2800,0.012430527,0.12964237,0.000643912,0,0.06,0.000643912
600,1.4,1,0.044752034,168,2800,0.012430527,0.12964237,0.000643912,0,0.06,0.000643912
600,1.5,1,0.056625591,308,2660,0.030272401,0.135479866,0.007516213,0,0.115789474,0.007516213
600,1,1.25,0.028855332,140,2828,0.00688295,0.12917831,0.000158373,0,0.04950495,0.000158373
600,1.2,1.25,0.028855332,140,2828,0.00688295,0.12917831,0.000158373,0,0.04950495,0.000158373
